   1 	     2.3290 
   2 	    11.6719 
   3 	    21.1323 
   4 	    30.5893 
   5 	    39.8622 
   6 	    49.3648 
   7 	    58.6517 
   8 	    67.9819 
   9 	    77.4253 
  10 	    86.8216 
  11 	    96.0712 
  12 	   105.7002 
  13 	   114.9251 
  14 	   124.3818 
  15 	   133.7153 
  16 	   143.1224 
  17 	   152.5669 
  18 	   161.6158 
  19 	   171.4250 
  20 	   180.7216 
  21 	   190.2877 
  22 	   199.5238 
  23 	   208.9638 
  24 	   218.2598 
  25 	   227.7494 
  26 	   237.0666 
  27 	   246.5991 
  28 	   255.9852 
