   1 	     9.3459 
   2 	    18.6633 
   3 	    27.9324 
   4 	    37.5606 
   5 	    46.8320 
   6 	    56.2854 
   7 	    65.7328 
   8 	    75.0783 
   9 	    84.5644 
  10 	    93.7770 
  11 	   103.2016 
  12 	   112.6517 
  13 	   121.9493 
  14 	   131.4397 
  15 	   140.7242 
  16 	   150.3800 
  17 	   159.6674 
  18 	   169.2105 
  19 	   178.4835 
  20 	   187.8429 
  21 	   197.3171 
  22 	   216.0212 
  23 	   225.3161 
  24 	   234.4893 
  25 	   244.2146 
  26 	   253.4373 
  27 	   262.9376 
  28 	   272.3984 
  29 	   281.9808 
